0.592,0.592,0.592,0.592,5.182,0,0,0,-4.589,-4.589,-4.589,-4.589,-4.589,0,62.062,4.637,4.637,41.107,0,48.712,0,0.911,0.911,0.911,264.919,0,-154.873,-154.873,105.211,55.125,0,-358.614,-358.614,0,-1942.686,-1942.686,-1942.686,0,-1670.379,-11734.597,-58121.594,0,-140336.374,-47681.266,276.712,129.477,18.068,18.068,39.16,84.266,0,4.498,0,-2083.457,21.763,86.574,98.678
0.592,0.592,0.592,0.592,0,0,0,0,0,0,-4.589,3.621,28.31,28.31,0,7.939,0,0,0,23.446,12.468,0.911,0.911,0.911,212.667,0,-154.873,-154.873,-154.873,0,-14.606,-14.606,-14.606,-14.606,-14.606,-14.606,0,0,-165209.246,-1438.352,-8317.073,-12069.343,-2329.494,0,0,64.041,21.104,111.083,48.116,0,0,4.498,-2083.457,-83.287,0,82.58,0
0.592,21.911,21.911,21.911,0,0,0,0,0,0,0,0,3.621,3.621,36.477,0,7.939,0,0,29.581,0,0.911,0.911,194.528,476.165,-154.873,-154.873,-570.845,-570.845,0,-14.606,-14.606,-14.606,-14.606,-14.606,-14.606,0,0,-650528.935,-14097.267,-3941.846,0,0,-159767.613,32.839,0,61.444,22.628,0,37.735,0,4.498,-83.287,177.293,63.159,0,86.239
0.536,0.536,21.911,0.536,0,0,0,0,0,0,3.667,3.667,0,0,3.621,42.535,7.939,0,15.08,0,33.813,10.891,10.891,241.964,0.844,0.844,0,-570.845,-570.845,-2062.513,0,0,0,-14.606,-14.606,-2588.584,-2588.584,0,-808.713,-808.713,-5284.911,0,-11525.334,-9690.529,0,692.45,0,0,48.073,37.735,0,4.498,194.706,0,0,91.61,81.172
0.536,0.536,0.536,0.536,0,0,3.667,0,0,3.667,3.667,31.495,76.193,46.275,46.275,0,0,0,15.08,15.08,68.809,33.813,592.417,0.844,0.844,0.844,0.844,-570.845,-2062.513,27.618,0,-8906.436,0,0,-14.606,0,0,0,0,0,0,0,0,0,193.889,189.21,205.468,0,129,72.658,0,0,65.72,0,0,86.893,0
0.536,0.536,0.536,-59.627,0.536,3.667,3.667,3.667,0,3.667,3.667,0,0,48.354,66.705,0,217.669,37.908,0,63.354,26.604,52.203,88.554,0,0,0.844,0.844,0.844,27.618,73.964,0,0,0,-8861.86,-1517.903,0,-27897.993,0,0,0,0,0,0,62.932,109.941,0,420.115,200.721,0,44.225,89.218,45.141,0,158.728,0,106.737,64.712
0,0,-59.627,-59.627,-59.627,0.536,3.667,0,3.667,3.667,3.667,3.667,17.928,17.928,0,10.632,76.383,47.765,37.908,0,26.604,64.169,220.026,0,0.844,0.844,46.992,0,0,3.254,0,69.172,0,0,-1517.903,0,0,-79805.532,0,0,0,0,0,142.818,180.268,228.717,0,0,321.084,0,32.428,0,60.127,69.904,0,0,0
-72.771,-72.771,-59.627,-59.627,-59.627,-59.627,3.667,3.667,3.667,3.667,3.667,0,0,17.928,11.026,11.026,0,47.765,145.636,0,37.065,0,0,122.808,77.028,0.844,0,0,84.911,262.915,132.539,39.652,0,0,0,-3471.479,0,-3359.448,-171045.221,0,0,167.796,62.384,-2954.238,0,0,126.47,0,40.18,162.907,0,64.047,-314.474,0,0,0,0
-73.962,-8.444,-59.627,-59.627,-59.627,-59.627,-59.627,3.667,3.667,0,0,123.048,123.048,0,70.315,11.026,36.117,18.938,140.633,143.902,-9.168,34.252,0,320.917,134.451,90.694,23.12,24.807,0,324.38,125.134,0,39.652,0,-1559.899,-4230.498,-139656.53,0,0,0,31.615,46.407,147.352,240.457,83.966,0,133.144,319.73,208.705,0,183.89,0,38.406,0,0,0,11.623
-73.962,0,-8.444,-59.627,-59.627,-59.627,-59.627,3.667,0,240.708,25.166,0,0,13.2,70.315,90.282,54.466,18.938,0,-9.168,-9.168,34.252,0,36.854,48.672,143.309,23.12,0,0,0,0,110.87,141.748,0,-15000.554,-174.381,0,-4668.031,0,79.79,51.17,0,0,64.798,92.015,97.698,52.805,92.177,0,358.451,167.956,0,0,42.591,0,47.817,0
-79.15,-8.444,-8.444,-8.444,-237.268,0,-219.817,0,15.192,32.281,164.036,49.54,2.784,13.2,13.2,109.272,98.885,18.938,55.149,-9.168,0,70.858,310.521,205.905,0,0,25.456,44.047,90.591,0,57.876,124.543,97.469,0,133.475,-174.381,0,0,62.149,0,52.783,31.608,75.666,0,0,203.083,0,0,129.792,0,19.83,0,77.364,0,4.612,4.612,0
-79.15,-194.973,-8.444,-8.444,-16.111,-104.871,0,72.349,15.192,0,9.586,9.586,9.586,9.586,53.616,53.616,138.892,0,0,-9.168,115.793,56.701,90.06,76.399,0,0,47.711,85.644,74.724,0,75.372,0,106.588,171.374,265.098,105.942,63.918,63.918,50.709,71.51,0,35.561,94.047,0,0,125.412,0,0,293.384,19.83,19.83,0,0,34.261,4.612,0,-10508.868
